fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220521 090850	-0.919662352716455	3713	1848	15	5	8595000	89
20220521 090953	-0.883151832084302	2322	1152	20	5	9660000	90
20220521 091144	-0.891652023718814	67	21	20	5	2863000	91
20220521 091240	-0.876923481422142	7195	1331	20	5	8250000	92
20220521 091345	-0.880771424326906	2400	1181	12	5	9515000	93
20220521 091449	-0.84724789773288	2499	1245	20	5	8708000	94
20220521 091557	-0.820621218192365	5838	397	13	5	8720000	95
20220521 091629	-0.90330088559042	6548	1002	3	5	8367000	96
20220521 091736	-0.571783821642025	4017	444	11	5	9172000	97
20220521 091807	-0.861563605235194	890	433	3	5	8622000	98
20220521 091910	-0.333177576517574	6050	318	10	5	8720000	99
20220521 092108	-0.481032340399437	7503	1	20	5	7739000	100
20220521 092209	-0.416851378481013	3788	1158	12	5	9048000	101
20220521 092315	-0.770757893366082	2130	1046	15	5	9380000	102
20220521 092415	-0.644350578088487	3851	1626	12	5	8438000	103
20220521 092523	-0.740018808115334	2712	1008	20	5	9043000	104
20220521 092703	-0.66395970572404	5289	30	20	5	7582000	105
20220521 092735	-0.209844622979354	3039	1505	3	5	8244000	106
20220521 092834	-0.112562432853784	7697	753	17	5	8101000	107
20220521 092940	-0.118255388244343	1613	779	10	5	9755000	108
20220521 093011	-0.994222924173873	2955	4	3	5	8363000	109
20220521 093043	-0.727682866979575	3331	1665	3	5	8101000	110
20220521 093203	-0.751139960404945	7963	120	16	5	8074000	111
20220521 093304	-0.389171823167821	8000	1153	13	5	8195000	112
20220521 093403	-0.932249861602127	7681	5	8	5	8007000	113
20220521 093504	-0.435621785567567	4099	1999	19	5	8358000	114
20220521 093612	-0.887088126840118	3898	1947	20	5	8153000	115
20220521 093718	-0.961976933819338	2440	1216	16	5	8822000	116
20220521 093822	-0.867735716542313	3639	962	16	5	9047000	117
20220521 093935	-0.8311817607434	1173	528	20	5	10804000	118
20220521 094042	-0.832390684211253	2065	1023	20	5	9364000	119
