fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220531 145854	0	0	0	1	hist	lossguide	256	0	1	0.299417674406279	0.99211768423666	8	2	0.0153050005321113	97	12793000	105
20220531 145923	0	0	0	1	hist	lossguide	256	0	1	0.270587571614085	0.414828018736275	7	2	0.0198320126596175	126	12788000	106
20220531 150255	0	0	0	1	hist	lossguide	256	0	1	0.0104905626904123	0.896773813516631	8	97	0.0146012870820506	202	13031000	107
20220531 150340	0	0	0	1	hist	lossguide	256	0	1	0.181216436530323	0.980509053098612	8	2	0.0238569152717234	267	12260000	108
20220531 150648	0	0	0	1	hist	lossguide	256	0	1	0.0100230606853347	0.608509740157361	4	28	0.0161341015365114	250	13462000	109
20220531 151127	0	0	0	1	hist	lossguide	256	0	1	0.0102690859039982	0.713772266399973	4	337	0.0148308507770978	251	12658000	110
20220531 151412	0	0	0	1	hist	lossguide	256	0	1	0.010063693755387	0.40709689968858	4	11	0.0182434127255656	418	13336000	111
20220531 151514	0	0	0	1	hist	lossguide	256	0	1	0.0659942856441521	0.831538435426227	3	1024	0.00835026019220567	28	11038000	112
20220531 151602	0	0	0	1	hist	lossguide	256	0	1	0.0593151159350156	0.507694825692289	10	495	0.0140620567488116	32	13329000	113
20220531 151955	0	0	0	1	hist	lossguide	256	0	1	0.0100723322051399	0.887550918757684	4	3	0.0214822229573086	1186	12421000	114
20220531 152352	0	0	0	1	hist	lossguide	256	0	1	0.0100018598557792	0.405363608811807	4	749	0.0117704102558413	142	12938000	115
20220531 152743	0	0	0	1	hist	lossguide	256	0	1	0.0100729523778111	0.298139732205936	8	957	0.0148457095541066	316	13111000	116
20220531 152811	0	0	0	1	hist	lossguide	256	0	1	0.29571417711581	0.202767736245791	7	1024	0.0153128215828177	14	10975000	117
20220531 153205	0	0	0	1	hist	lossguide	256	0	1	0.0100072348465899	0.389207029974249	6	908	0.0117484588968799	240	13166000	118
20220531 153838	0	0	0	1	hist	lossguide	256	0	1	0.0101138585486756	0.497604151953187	4	2	0.0148729685466858	2955	12769000	119
20220531 154155	0	0	0	1	hist	lossguide	256	0	1	0.0100456159326355	0.604212193549355	5	18	0.0179975913027914	418	13074000	120
