fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220531 051816	0	0	0	1	auto	depthwise	256	0	1	0.0100793572133136	0.966167320895262	10	15	0.0188602913188641	414	12897000	106
20220531 060424	0	0	0	1	auto	depthwise	256	0	1	0.0103345069704159	0.999920071998018	10	17	0.0111121051697565	145	13005000	107
20220531 062132	0	0	0	1	auto	depthwise	256	0	1	0.015698525184805	0.701127929112621	9	7	0.0135555330776966	187	13423000	108
20220531 063615	0	0	0	1	auto	depthwise	256	0	1	0.01112358834365	0.200554061882378	9	10	0.0208676982014767	499	12590000	109
20220531 064846	0	0	0	1	auto	depthwise	256	0	1	0.0120550499837352	0.200726985505323	9	10	0.0141504446694627	384	13100000	110
20220531 070255	0	0	0	1	auto	depthwise	256	0	1	0.0100964472549395	0.936335660541414	1	2	0.0114451876388208	486	12645000	111
20220531 071715	0	0	0	1	auto	depthwise	256	0	1	0.0234209356154587	0.808591198436062	9	4	0.0168416082157338	404	13264000	112
20220531 074442	0	0	0	1	auto	depthwise	256	0	1	0.0100398129406988	0.41773867544651	9	28	0.0149910473747804	215	13340000	113
20220531 081301	0	0	0	1	auto	depthwise	256	0	1	0.010061954535758	0.28636354454299	9	30	0.0182867781735689	527	12848000	114
20220531 083549	0	0	0	1	auto	depthwise	256	0	1	0.0106979343000207	0.411718849639698	9	20	0.0125289353995345	161	13289000	115
20220531 090859	0	0	0	1	auto	depthwise	256	0	1	0.0100568971381875	0.604221607833897	10	20	0.0158429241720238	188	13236000	116
20220531 092048	0	0	0	1	auto	depthwise	256	0	1	0.0105080740834718	0.453740306115729	9	3	0.0170026794882221	555	13412000	117
20220531 092600	0	0	0	1	auto	depthwise	256	0	1	0.0275257367030742	0.363118126677095	9	4	0.016664805662103	198	13810000	118
20220531 101949	0	0	0	1	auto	depthwise	256	0	1	0.0107376975267711	0.987392868170484	10	20	0.0138204387399571	239	13179000	119
20220531 102139	0	0	0	1	auto	depthwise	256	0	1	0.0798988140953676	0.518821980817935	5	2	0.0124159700365597	78	13040000	120
