fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220521 201912	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	69	TRUE	0.086925600574617	0.45172581340962	3001	1024	0.016062644643608	13536000	37
20220521 202716	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	645	TRUE	0.0100012085720725	0.465704168460878	2969	1018	0.0161556966244738	13747000	38
20220521 203451	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	578	TRUE	0.010077274259348	0.526628090096463	3383	626	0.01118076463927	13145000	39
20220521 204247	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	716	TRUE	0.0106235939137094	0.452160339570059	3640	985	0.018173882806745	13542000	40
20220521 205302	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	668	TRUE	0.0108213477221367	0.537626619244448	1559	969	0.0154008285610547	13553000	41
20220521 205902	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	412	TRUE	0.0104996564917888	0.510904045990214	4241	332	0.0157578134231195	13753000	42
20220521 210612	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	765	TRUE	0.0100499361692162	0.391758888380643	6058	145	0.022897187066225	12676000	43
20220521 211001	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	239	TRUE	0.0183849151640289	0.528171508280921	3256	646	0.0157758824964576	13657000	44
20220521 211632	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	647	TRUE	0.0104345989828957	0.392756815954926	5959	412	0.0166995782587266	13879000	45
20220521 212336	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	784	TRUE	0.0101686803641067	0.375266165408921	6742	274	0.0169383039901623	13613000	46
20220521 213025	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	696	TRUE	0.0104935673146269	0.372228530800336	5125	431	0.0165019036396907	13623000	47
20220521 213614	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	528	TRUE	0.0107507904696802	0.399290199609875	6261	550	0.0171190930597187	13762000	48
20220521 213754	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	204	TRUE	0.0505402073126479	0.200450683782486	6017	734	0.0169401658148502	13456000	49
20220521 214401	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	507	TRUE	0.0107763033999174	0.516444045425548	6069	382	0.016876296714234	13762000	50
20220521 215009	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	676	TRUE	0.0102114969944377	0.326872474968909	7999	400	0.0159797705677799	13473000	51
20220521 215034	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	0.290264416315751	0.984802444925822	7995	16	0.0168436538363203	12995000	52
20220521 215121	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	99	TRUE	0.11874999866942	0.79253026470324	5979	317	0.0159207541346877	13352000	53
20220521 215513	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	503	TRUE	0.015434055455759	0.999196598851344	3907	327	0.0150175959672403	13025000	54
20220521 215924	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	416	TRUE	0.0101489371143164	0.582666340517912	2609	16	0.0143257888791824	13469000	55
20220521 220132	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	208	TRUE	0.0223925081125359	0.762788154336261	3973	1022	0.0158357838583369	13335000	56
20220521 220705	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	586	TRUE	0.0100167226464688	0.667440140917577	3136	285	0.0150618900159659	13562000	57
20220521 220743	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	70	TRUE	0.0879093450883458	0.679617631994176	3894	16	0.0154082930687945	13091000	58
20220521 221255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	814	TRUE	0.0101174015266471	0.206256903728113	2687	16	0.0164476859004778	13480000	59
20220521 222230	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1818	TRUE	0.0100497741048604	0.269972820009956	52	20	0.00839153394327972	13358000	60
20220521 222453	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.0102385963939084	0.237179001410467	2324	16	0.00840368301389616	12054000	61
20220521 223014	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	668	TRUE	0.0102782569797583	0.339729645477136	2	22	0.0137715768070541	13193000	62
20220521 224122	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	89	TRUE	0.0104295039838312	0.597231936274695	0	371	0.0084348563210548	5208000	63
20220521 224622	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	805	TRUE	0.0105276089698361	0.200633019250369	678	17	0.0150204397297546	13164000	64
