Feature	Gain	Cover	Frequency
mpasivos_margen	0.131871482512488	0.0337742841344708	0.0396253602305476
ctrx_quarter	0.0743710173405246	0.0436918606695009	0.0396253602305476
cpayroll_trx	0.061712197709779	0.0207153143602847	0.00576368876080692
mpayroll	0.0497993483619529	0.0376801109710438	0.0136887608069164
Visa_msaldototal	0.04670999967795	0.0140770752627652	0.0201729106628242
mcaja_ahorro	0.0346218672365975	0.0177856488921126	0.029178674351585
mtarjeta_visa_consumo	0.0340892798336019	0.0235747059361046	0.0234149855907781
mrentabilidad_annual	0.0280290681877126	0.0259410791892946	0.029178674351585
mcuentas_saldo	0.0247040901401047	0.0332003367136792	0.0302593659942363
Master_fechaalta	0.0230382699544196	0.0399242991784974	0.0378242074927954
Visa_Fvencimiento	0.0221096055865384	0.0161815873708124	0.026657060518732
ctarjeta_visa_trx	0.0213479267720508	0.00718619653298872	0.00900576368876081
numero_de_cliente	0.0209249223301753	0.0267048590227382	0.0309798270893372
mactivos_margen	0.020070263463412	0.0267762225217124	0.0223342939481268
mprestamos_personales	0.0194973013930063	0.0247651757227524	0.00936599423631124
ctarjeta_visa_trx2	0.0193736098523531	0.00587794600526642	0.00756484149855908
chomebanking_trx	0.019099647183263	0.0202662817365563	0.0248559077809798
Master_Fvencimiento	0.0180056278140918	0.027330832292348	0.0338616714697406
mcuenta_corriente	0.0173084574855874	0.0143913292821147	0.0194524495677233
cliente_antiguedad	0.0158884155341612	0.019032858509912	0.0219740634005764
Visa_fechaalta	0.0154251536116179	0.0132962058096701	0.018371757925072
mcaja_ahorro_dolares	0.0153978585315438	0.0250587386858259	0.0306195965417867
Visa_mpagominimo	0.014743087858173	0.017572785636333	0.0219740634005764
mcomisiones_otras	0.0144999067910171	0.0119358835549561	0.0219740634005764
cliente_edad	0.0123502542310134	0.0203002545240782	0.0223342939481268
Master_mfinanciacion_limite	0.01174061696253	0.013414468271567	0.0194524495677233
Visa_mfinanciacion_limite	0.0109129602253307	0.0142558739746759	0.0187319884726225
mrentabilidad	0.0107125204756291	0.0170500382572355	0.0198126801152738
mcomisiones	0.0105227517044241	0.0114860824718206	0.0154899135446686
ccomisiones_otras	0.009880673842769	0.0088028401433881	0.0115273775216138
Visa_mconsumospesos	0.00925714428739243	0.0145794871414318	0.0230547550432277
Visa_msaldopesos	0.00874593454153768	0.0202925355213766	0.0262968299711816
Visa_mlimitecompra	0.00786612307083938	0.0121695181538155	0.0104466858789625
Visa_mpagospesos	0.00780566229055189	0.00920503115191067	0.0147694524495677
Visa_mconsumototal	0.00757166536911513	0.008506937393463	0.0115273775216138
mtransferencias_recibidas	0.00756117958150358	0.0115049154620674	0.0129682997118156
cprestamos_personales	0.00752939254542527	0.00126572146083124	0.0010806916426513
mpagomiscuentas	0.00666946263197972	0.0139793891617105	0.00972622478386167
mtransferencias_emitidas	0.00652052248071933	0.00765212379413092	0.013328530259366
Master_mlimitecompra	0.00646407634716423	0.00606098844823145	0.00900576368876081
mautoservicio	0.00635282425379202	0.0162358383110483	0.0216138328530259
ctarjeta_debito_trx	0.00608468908870661	0.0211145347570692	0.0226945244956772
mcomisiones_mantenimiento	0.00607666580585413	0.0078508680419972	0.00720461095100865
Master_mpagospesos	0.00598712267849235	0.0225029573930893	0.00936599423631124
mtarjeta_visa_debitos_automaticos	0.00566828502196081	0.00756590723646639	0.0104466858789625
